led,Vmin,lambda,sigma
led3-a1,2.184437377471857,531.13,14.294085898847396
led4-a1,2.5652094338808,559.7,49.400802513752595
led5-a1,1.954257349663171,592.22,6.866766755328665
led6-a1,1.5171070671812452,727.27,12.616675343278539
led7-a1,1.733727601592432,638.7,7.677869074603709
led1-a1,2.5096493800026933,458.14,8.446505303864344
led2-a1,2.979509775317984,369.91,4.344281008473201
