led,Vmin,lambda,sigma
led1-a2,2.5644911530716037,455.81,117.87899709057217
led2-a2,2.974809183982246,369.91,29.237585298656285
led3-a2,1.5257054753318557,730.14,177.27993207238094
led5-a2,1.8799972981045439,592.22,64.97332622170732
led7-a2,1.8118596507546183,637.91,74.17387937935045
