"tensao (V) (0,001)","corrente (mA) (0,0001)"
2.195,0.0014
2.221,0.0023
2.253,0.0048
2.285,0.0084
2.323,0.0177
2.355,0.0329
2.389,0.0648
2.424,0.132
2.455,0.2495
2.49,0.522
2.523,1.0323
2.557,2.0167
2.597,4.2718
2.637,8.1935
2.665,12.2968
