0;0.79;1.4610400390625;1373176;1.461040039
1;0.65;3.66718544059178E-003+4.94488092191894E-003j;124834.1818;0.006156305
2;0.68;4.79165010783619E-003+7.86285552039428E-003j;65389.33333;0.009207845
3;0.82;1.894094444124E-003+6.53333434340397E-003j;44296;0.006802356
4;1.04;-2.68205311837488E-003+3.50012708896171E-003j;33492.09756;0.004409569
5;1.22;-1.40329357135702E-003-3.68838858902365E-003j;26925.01961;0.00394632
6;1.55;9.35652379043157E-004-1.22867465929271E-004j;22511.08197;0.000943685
7;1.89;3.02084239810446E-003+5.54863072397281E-004j;19340.50704;0.003071378
8;2.07;1.97026391919402E-003+4.68830765682258E-003j;16952.79012;0.005085486
9;2.3;-3.2515868714714E-003+9.38091660038491E-005j;15089.84615;0.00325294
10;2.38;-9.47808169588055E-004-1.29390322580632E-003j;13595.80198;0.00160391
11;2.38;-7.95366998017176E-004+2.89909429528767E-003j;12370.95495;0.00300622
12;2.24;-2.80978953588987E-003+4.27421367526632E-003j;11348.56198;0.005115058
13;1.96;-1.89914302341598E-003-2.22725862840796E-003j;10482.25954;0.002927016
14;1.71;8.25267327892762E-004-9.50008407163018E-004j;9738.836879;0.001258405
15;1.33;1.39049748981413E-003+2.36929284173448E-003j;9093.880795;0.002747186
16;1.01;-2.72281022090452E-003+7.35900586504573E-004j;8529.043478;0.002820504
17;0.8;-5.30461457095511E-004-1.56283926689406E-003j;8030.269006;0.001650411
18;0.66;-4.6365911800841E-004-1.98811242225016E-003j;7586.607735;0.002041463
19;0.74;1.15902148868941E-003+2.27430192682859E-003j;7189.403141;0.002552603
20;0.92;1.48316288651929E-003-2.68331740175617E-003j;6831.721393;0.003065936
21;1.2;4.54975684551024E-004+8.7086879666531E-004j;6507.943128;0.000982556
22;1.65;1.90678021400624E-003+1.20067781237378E-003j;6213.466063;0.002253317
23;1.98;-1.68935576988609E-003-1.50183787021771E-004j;5944.484848;0.001696018
24;2.28;1.37143291887236E-003+1.073877291701E-003j;5697.825726;0.00174185
25;2.39;-9.91162076998728E-004+4.18380301961988E-004j;5470.820717;0.001075846
26;2.37;3.03495879696422E-005-7.1927317068144E-004j;5261.210728;0.000719913
27;2.29;2.8702174249732E-003+1.55500998999102E-003j;5067.070111;0.003264384
28;2.13;-8.31236949765168E-004+9.16812391123352E-004j;4886.747331;0.001237538
29;1.87;1.74634516904501E-003+1.89163742961963E-003j;4718.817869;0.002574493
30;1.72;9.67285379651615E-004+1.22578139362696E-003j;4562.046512;0.001561468
31;1.43;-3.46618574193609E-003+2.88169859494738E-003j;4415.356913;0.004507619
32;1.06;-7.23343672396208E-004-1.21187956858927E-003j;4277.806854;0.001411339
33;0.82;6.20574309090518E-004+1.91751478410112E-003j;4148.567976;0.002015434
34;0.69;2.08624422587529E-004+2.45923760312648E-003j;4026.909091;0.002468071
35;0.73;-2.8762290452621E-003+1.1471658653853E-003j;3912.182336;0.00309656
36;0.9;-1.8488333892039E-003+8.13194106467529E-004j;3803.811634;0.00201977
37;1.2;-2.09635785248166E-004-1.44001358336805E-003j;3701.283019;0.001455193
38;1.52;-1.49352851726612E-004+5.24943975456969E-004j;3604.136483;0.000545777
39;1.85;-4.57502172650498E-004+3.68355544610591E-004j;3511.959079;0.000587362
40;2.16;1.26903725473223E-004-1.28211345579783E-003j;3424.379052;0.001288379
41;2.32;5.11896456014757E-004-8.96867477418275E-004j;3341.060827;0.001032671
42;2.31;3.66927677334979E-003+1.33874154311594E-004j;3261.700713;0.003671718
43;2.08;2.0151626816803E-004+4.55736149852205E-003j;3186.023202;0.004561815
44;1.74;-3.50674947954233E-004+2.47958571970622E-003j;3113.777778;0.00250426
45;1.46;-2.36418081510194E-003+9.26120793253964E-004j;3044.736142;0.002539104
46;1.13;-2.06673110167904E-003+5.21259720285024E-004j;2978.689805;0.002131452
47;0.91;-1.95091365032205E-003-1.71843077750161E-003j;2915.447983;0.002599821
48;0.71;-1.61629324543207E-003-8.6608697296249E-004j;2854.835759;0.001833715
49;0.65;1.48890777388231E-003-6.33769795188553E-003j;2796.692464;0.006510243
50;0.67;4.44455103951474E-003+1.32990564803514E-003j;2740.870259;0.004639255
51;0.87;3.87429005800829E-003+5.71727737793358E-003j;2687.232877;0.006906329
52;1.21;-7.09336153342609E-004+2.4322664965307E-003j;2635.654511;0.00253359
53;1.66;-1.85426087301611E-003+7.01881624874768E-003j;2586.018832;0.007259619
54;1.86;-3.26069550855879E-003+6.51917410915037E-004j;2538.218115;0.003325227
55;2.16;-8.5852858681917E-004+2.77686347169055E-003j;2492.15245;0.002906552
56;2.38;-1.87251555708563E-003-2.67622496376105E-004j;2447.729055;0.001891543
57;2.33;-2.67020419132684E-003-6.18110518348742E-004j;2404.861646;0.002740812
58;2.1;-7.77471647240774E-006-4.22106070782839E-004j;2363.46988;0.000422178
59;1.8;-3.52356486710521E-005+3.44498626217733E-003j;2323.478849;0.003445166
60;1.47;-5.61801471679425E-003-1.31377237472635E-003j;2284.818636;0.005769583
61;1.2;1.13708005263425E-003-2.91896804151461E-003j;2247.423895;0.003132623
62;0.96;3.27264254407646E-003+1.31224619183752E-003j;2211.233494;0.00352593
63;0.75;2.78090031940276E-003+5.65175314228188E-003j;2176.190174;0.006298867
64;0.65;-2.01705018452857E-003+3.88067724683806E-003j;2142.24025;0.004373574
65;0.68;-2.58434417182805E-003+1.29986084442964E-003j;2109.333333;0.002892831
66;0.84;-8.06634629800269E-004+3.66658885205648E-004j;2077.422088;0.000886058
