0;5.26;3.22829345703125;1373176;3.228293457
1;5.25;-7.12538431015708E-003+2.61140054229928E-002j;124834.1818;0.02706866
2;5.08;7.31787780805149E-003+6.0644329101904E-003j;65389.33333;0.00950414
3;4.58;6.86644290535416E-003+3.17786072113068E-003j;44296;0.007566164
4;4.14;2.7460604455445E-003+3.90420200530035E-003j;33492.09756;0.004773221
5;3.48;-1.75554115898807E-003+8.73706114331411E-003j;26925.01961;0.008911687
6;2.71;2.49865818855273E-004+1.01329225692326E-002j;22511.08197;0.010136003
7;2.23;8.16908699293786E-003+3.57323355889358E-003j;19340.50704;0.008916388
8;1.85;4.79266658364684E-003+4.133122869491E-003j;16952.79012;0.006328693
9;1.66;6.93572257852009E-003-7.84471891168955E-003j;15089.84615;0.010471097
10;1.67;-5.07112780144806E-004+1.98222785455611E-003j;13595.80198;0.002046067
11;1.96;9.1859118454363E-004+4.03818679404253E-003j;12370.95495;0.004141348
12;2.33;2.21909848928165E-003+5.45868034367114E-003j;11348.56198;0.005892503
13;2.93;2.72886681972208E-003+2.94195825320241E-003j;10482.25954;0.004012709
14;3.64;3.9042316690991E-003+4.2018700233428E-003j;9738.836879;0.005735742
15;4;-1.9246093977962E-003+5.70658146099323E-003j;9093.880795;0.006022391
16;4.29;2.36660750116263E-003+3.21401267390659E-003j;8529.043478;0.003991329
17;4.4;-8.0060592233777E-006-1.90829788265644E-003j;8030.269006;0.001908315
18;4.36;-3.86238601929016E-003-1.59623971213333E-004j;7586.607735;0.003865683
19;4.22;-1.54323861024114E-003+8.80854650555121E-003j;7189.403141;0.008942711
20;3.87;2.5865634876921E-003+3.05191655477543E-003j;6831.721393;0.004000563
21;3.44;-2.47005305033606E-003+3.17379749304612E-003j;6507.943128;0.00402171
22;2.99;-1.88457334288281E-003+1.30904801808518E-002j;6213.466063;0.013225441
23;2.66;1.96547229325068E-003-4.4065037205131E-004j;5944.484848;0.002014263
24;2.49;2.93314159027655E-003-2.56224265009611E-003j;5697.825726;0.003894664
25;2.45;8.07236554762255E-004-2.37551367536159E-003j;5470.820717;0.002508923
26;2.53;1.30738083790806E-003+4.56112648168125E-003j;5261.210728;0.004744799
27;2.74;2.46237776208012E-004+2.74388694697395E-003j;5067.070111;0.002754914
28;3.05;-4.46733761306149E-003+2.30630428066043E-003j;4886.747331;0.005027539
29;3.39;-6.85552428211769E-004-2.62821252282196E-003j;4718.817869;0.002716152
30;3.72;-1.3420822376984E-003+1.39071794830229E-003j;4562.046512;0.001932688
31;3.98;5.97389391052796E-003+1.46369317295971E-003j;4415.356913;0.006150594
32;3.97;6.28414359354897E-003+3.08539832915319E-003j;4277.806854;0.007000725
33;3.7;-1.36449412819098E-003+1.04464350353949E-003j;4148.567976;0.001718466
34;3.43;-5.63750367924004E-004+2.82952269800375E-003j;4026.909091;0.002885137
35;3.22;2.48646605179666E-003-2.01026303175121E-003j;3912.182336;0.003197448
36;2.87;-2.70995000846404E-003+5.25752986398803E-004j;3803.811634;0.002760479
37;2.63;1.43309265234878E-003+1.51971960591123E-003j;3701.283019;0.002088852
38;2.39;1.7492815369487E-003-4.27399778444424E-004j;3604.136483;0.001800738
39;2.26;1.5525529130433E-003+6.0563551800004E-003j;3511.959079;0.006252188
40;2.42;-3.45358301436678E-003-3.71411951016372E-003j;3424.379052;0.005071678
41;2.65;-7.97485961486059E-004+8.67558889204773E-004j;3341.060827;0.001178407
42;3.15;7.28511446458118E-004-1.39858858542263E-004j;3261.700713;0.000741815
43;3.67;-1.1445322818059E-003-2.43856298015112E-003j;3186.023202;0.002693797
44;4.1;2.00499652283306E-003-7.45020079619328E-003j;3113.777778;0.007715277
45;4.45;3.13651369253286E-004-2.03608875896834E-003j;3044.736142;0.002060105
46;4.64;1.61911134252398E-004+5.91000903745067E-004j;2978.689805;0.000612778
47;4.68;2.81049088458387E-003+1.24027193043863E-003j;2915.447983;0.003071992
48;4.57;4.97275498971189E-004-4.65485895687859E-003j;2854.835759;0.004681345
49;4.43;-5.75920297189928E-004-2.38139843569265E-003j;2796.692464;0.00245005
50;4.39;-2.64876918904424E-003-7.13151742575833E-003j;2740.870259;0.00760753
51;4.2;-2.7724112888747E-003-6.21140674273994E-003j;2687.232877;0.006802047
52;3.68;4.81258490518847E-003-6.73116611040747E-004j;2635.654511;0.00485943
53;3.01;3.57437801847733E-003+9.99158435975145E-004j;2586.018832;0.003711401
54;2.44;-1.68773918935397E-003-4.68057713407387E-003j;2538.218115;0.004975567
55;1.97;7.00869914253031E-003-3.78273215657488E-003j;2492.15245;0.007964353
56;1.53;3.25839154942205E-003-5.06931513511698E-004j;2447.729055;0.003297589
57;1.39;-9.8926912114425E-004+4.77856022564651E-003j;2404.861646;0.004879886
58;1.59;-3.03547819156639E-003+3.42155055901452E-003j;2363.46988;0.004573963
59;2.33;-1.58394430987015E-003-3.89607252009576E-003j;2323.478849;0.004205741
60;3.54;6.10715392198231E-003-2.93920231102691E-003j;2284.818636;0.006777628
61;4.09;7.82738302472558E-003-1.10588377087711E-003j;2247.423895;0.007905119
62;4.69;-2.69282657901839E-003+2.22467011509805E-003j;2211.233494;0.003492917
63;4.94;1.00963459010884E-002+3.67957945554449E-003j;2176.190174;0.010745953
64;5.3;1.29727241747518E-003-1.38750569253287E-003j;2142.24025;0.001899497
65;5.46;2.1207631111309E-003-4.04823581524059E-003j;2109.333333;0.004570104
66;5.44;7.88476304655707E-003-6.2744395628309E-003j;2077.422088;0.010076611
67;5.27;6.29446286648227E-003-2.32341307271283E-003j;2046.461997;0.006709584
