0	3.35	3.4375048828125	1373176	3.437504883
1	3.4	-1.80656634820756E-003+8.11717849644076E-003i	124834.1818	0.008315784
2	3.46	-3.27509415737908E-003+8.75683119744297E-003i	65389.33333	0.009349242
3	3.52	-2.78392638817174E-003+3.4565364180023E-003i	44296	0.004438231
4	3.6	-2.19854756957362E-003+3.17692048886649E-003i	33492.09756	0.003863474
5	3.7	-2.32210513281541E-003+3.44125250075794E-003i	26925.01961	0.004151432
6	3.74	-7.55414019147071E-004+2.87291388720304E-003i	22511.08197	0.00297057
7	3.8	-1.03243453927129E-003+2.51174455513049E-003i	19340.50704	0.002715655
8	3.83	-4.68843213494872E-004+1.07132371951467E-003i	16952.79012	0.001169422
9	3.84	-1.02950608722155E-003+9.31173402080632E-004i	15089.84615	0.001388152
10	3.82	-6.16816669861371E-004+1.83977377946842E-003i	13595.80198	0.00194042
11	3.79	-1.84450871650227E-003+5.28810615069097E-004i	12370.95495	0.001918816
12	3.74	-1.29103871633418E-003+6.71011720600235E-004i	11348.56198	0.001455004
13	3.67	-1.57827725360525E-003+1.36934837948137E-003i	10482.25954	0.002089515
14	3.59	-1.60033655274773E-003+1.10817626596596E-003i	9738.836879	0.001946569
15	3.47	-1.19238140871484E-003+1.37844261826491E-003i	9093.880795	0.001822602
16	3.4	-1.12093884919141E-003-7.39075408333211E-005i	8529.043478	0.001123373
17	3.32	1.20279946513472E-004+9.78635989276522E-004i	8030.269006	0.000986
18	3.27	5.71092947953899E-004+1.37585393360825E-003i	7586.607735	0.001489672
19	3.26	-2.60911368170876E-004+8.71053176539643E-004i	7189.403141	0.00090929
20	3.25	-1.26936860897104E-003+1.37626131397426E-003i	6831.721393	0.001872269
21	3.25	-9.16549727133635E-004+3.61622188414206E-004i	6507.943128	0.000985309
22	3.27	-9.40937043147061E-004-7.00982177065112E-004i	6213.466063	0.001173345
23	3.31	-2.19308666863116E-003+4.12933492536551E-004i	5944.484848	0.002231623
24	3.33	-1.39967584041622E-003+5.65888464135294E-004i	5697.825726	0.001509742
25	3.37	-1.92329151720069E-003+1.0385836248623E-004i	5470.820717	0.001926094
26	3.4	-2.93398000738114E-003+5.21653729128292E-004i	5261.210728	0.002979994
27	3.42	-1.82458390598034E-003+5.39834386822991E-004i	5067.070111	0.001902768
28	3.42	-2.83846468773915E-003-5.82712991775254E-004i	4886.747331	0.00289766
29	3.42	-1.2937894397129E-003+2.13005361425508E-004i	4718.817869	0.001311206
30	3.42	-1.62118540224175E-003-5.0009970911915E-004i	4562.046512	0.001696568
31	3.43	-2.09990105574279E-003-5.5872489633679E-004i	4415.356913	0.002172961
32	3.45	-1.6779842793667E-003+6.53887184079057E-004i	4277.806854	0.001800889
33	3.48	-5.00228058110719E-004-9.2085007732678E-004i	4148.567976	0.001047947
34	3.5	-5.11320236322348E-004-6.56232214325602E-004i	4026.909091	0.000831919
35	3.58	-1.18008911686796E-004+8.79799445894718E-004i	3912.182336	0.000887679
36	3.61	-5.66921972275209E-004+5.25036491838228E-004i	3803.811634	0.000772699
37	3.66	-2.07829512287162E-004+9.47065260905948E-004i	3701.283019	0.000969601
38	3.69	-1.32774697983618E-003-2.7988331623713E-004i	3604.136483	0.001356925
39	3.7	-1.25952338751553E-003+7.55694876524422E-004i	3511.959079	0.001468834
40	3.72	-2.86056269613652E-003+6.04106768558191E-004i	3424.379052	0.002923656
41	3.72	-1.2000693592836E-003-1.00343784649919E-003i	3341.060827	0.001564306
42	3.7	-2.61376022326631E-003+7.25687380433567E-005i	3261.700713	0.002614767
43	3.65	-1.98580826120998E-003-1.12867354787783E-003i	3186.023202	0.002284149
44	3.58	-2.41882703046224E-003+1.58512292740996E-003i	3113.777778	0.002891944
45	3.52	-2.75991306934356E-003-8.30624991736753E-004i	3044.736142	0.002882197
46	3.43	-1.59312619151633E-003+1.82964084564385E-004i	2978.689805	0.001603598
47	3.34	-2.22208907405632E-003+8.96502784453707E-004i	2915.447983	0.002396121
48	3.29	-7.26936580273726E-006+5.35176137855228E-004i	2854.835759	0.000535226
49	3.25	-1.25609838146533E-003+5.32413247046413E-004i	2796.692464	0.001364275
50	3.22	-3.9056882725468E-004+1.39029006603483E-004i	2740.870259	0.000414576
51	3.2	-4.02227709420997E-004+3.0577545893605E-004i	2687.232877	0.000505258
52	3.23	-1.29405068464103E-003-3.02898324506893E-004i	2635.654511	0.001329028
53	3.26	-1.77642284535433E-004-3.37190890278769E-005i	2586.018832	0.000180814
54	3.31	-2.69643932467246E-003-1.94746908106738E-003i	2538.218115	0.003326172
55	3.36	-9.87315703713581E-004-2.38826391729161E-003i	2492.15245	0.002584298
56	3.42	-9.58314053295677E-004-2.2162044324269E-003i	2447.729055	0.002414524
57	3.47	-8.88205963276439E-004-1.49878317981334E-003i	2404.861646	0.0017422
58	3.51	5.047814865421E-004-1.01064643745515E-003i	2363.46988	0.001129695
59	3.54	-1.54614886801877E-003+1.96290853103009E-003i	2323.478849	0.002498717
60	3.57	-2.14687294037514E-003-7.6793988772744E-005i	2284.818636	0.002148246
61	3.58	-8.35679866582072E-004-3.36261301951092E-004i	2247.423895	0.000900795
62	3.59	-2.97867608484284E-003-1.74859255877459E-003i	2211.233494	0.003453996
63	3.58	2.74996024062901E-004-1.92899506041028E-003i	2176.190174	0.001948498
64	3.58	-7.40920073660919E-004-2.09441533967502E-003i	2142.24025	0.002221607
65	3.57	-2.09548338431282E-003-1.15655666234165E-003i	2109.333333	0.002393465
66	3.57	-3.77957549028768E-003-1.76590225408461E-003i	2077.422088	0.004171762
