345,22	38,63
345,44	38,63
345,66	38,63
345,88	33,07
346,10	29,72
346,32	28,39
346,54	21,99
346,75	17,11
346,97	16,58
347,19	11,38
347,41	5,76
347,63	6,94
347,85	0,39
348,07	1,49
348,29	-5,53
348,51	-10,19
348,73	-9,67
348,95	-0,15
349,16	2,22
349,38	-1,76
349,60	0,19
349,82	-0,42
350,04	-1,76
350,26	2,22
350,48	0,60
350,70	2,22
350,92	5,78
351,14	9,24
351,35	11,70
351,57	12,57
351,79	3,71
352,01	4,92
352,23	2,29
352,45	-4,98
352,67	-5,82
352,89	-3,72
353,10	-4,06
353,32	-8,13
353,54	1,68
353,76	-3,67
353,98	2,54
354,20	0,50
354,42	9,05
354,64	6,51
354,85	3,70
355,07	3,70
355,29	7,50
355,51	-3,05
355,73	-10,11
355,95	-13,42
356,17	-12,66
356,38	-21,53
356,60	-23,33
356,82	-27,67
357,04	-34,26
357,26	-34,40
357,48	-34,40
357,69	-25,71
357,91	-22,58
358,13	-19,10
358,35	-9,24
358,57	-1,58
358,79	2,74
359,01	7,58
359,22	14,73
359,44	12,66
359,66	12,49
359,88	21,46
360,10	15,34
360,32	13,74
360,53	3,60
360,75	5,23
360,97	5,82
361,19	0,26
361,41	2,63
361,62	-1,02
361,84	-8,25
362,06	-11,41
362,28	-10,32
362,50	-7,42
362,72	-9,38
362,93	-10,14
363,15	-4,06
363,37	0,70
363,59	-0,66
363,81	-1,43
364,02	-1,09
364,24	-5,25
364,46	-10,10
364,68	-5,84
364,90	-7,29
365,11	-5,79
365,33	-3,58
365,55	-2,90
365,77	-5,35
365,99	-9,74
366,20	-18,51
366,42	-26,65
366,64	-26,23
366,86	-23,30
367,07	-23,56
367,29	-18,02
367,51	-15,74
367,73	-19,97
367,95	-17,42
368,16	-22,10
368,38	-28,29
368,60	-26,86
368,82	-25,25
369,03	-22,85
369,25	-16,06
369,47	-11,38
369,69	-6,80
369,91	0,49
370,12	5,40
370,34	3,21
370,56	6,26
370,78	10,91
370,99	7,78
371,21	10,15
371,43	10,23
371,65	12,59
371,86	21,83
372,08	24,90
372,30	24,73
372,52	22,19
372,73	21,09
372,95	13,11
373,17	9,70
373,39	10,72
373,60	6,17
373,82	5,47
374,04	5,90
374,26	13,70
374,47	12,52
374,69	5,05
374,91	-4,13
375,12	-7,03
375,34	-13,03
375,56	-18,03
375,78	-14,29
375,99	-12,83
376,21	-13,84
376,43	-6,46
376,65	-2,97
376,86	-3,13
377,08	-4,98
377,30	-3,36
377,51	-2,93
377,73	3,17
377,95	-4,86
378,17	-0,65
378,38	-0,31
378,60	7,42
378,82	12,07
379,03	9,42
379,25	2,53
379,47	0,84
379,68	2,19
379,90	-1,37
380,12	-0,43
380,34	1,86
380,55	8,30
380,77	14,48
380,99	16,09
381,20	22,52
381,42	14,63
381,64	12,77
381,85	17,71
382,07	20,00
382,29	20,85
382,50	18,80
382,72	20,75
382,94	15,23
383,15	14,54
383,37	4,02
383,59	-0,75
383,80	-3,63
384,02	-12,42
384,24	-14,55
384,45	-12,42
384,67	-12,69
384,89	-15,05
385,10	-17,86
385,32	-19,47
385,54	-22,36
385,75	-20,58
385,97	-18,35
386,19	-13,67
386,40	-10,34
386,62	-3,40
386,84	-0,45
387,05	-1,90
387,27	-4,36
387,49	-9,09
387,70	-15,83
387,92	-11,75
388,14	-9,28
388,35	-0,49
